ticker,tradeDate,stockPrice,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,rr25_pct252,callskew_pct252,call_wing_10_pct252,put_wing_10_pct252,call_kink_pct252,iv10d_pct252,return_5d_pct,drawdown_20d_pct,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,avgOptVolu20d,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,oi,ivRank1y,ivPct1y,ivRank1m,ivPct1m,dollar_stock_volume,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,putskew_pct252,putskew,scenario,ranking_score,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,long_otm_pct,selection_distance,source_dataset,earnings_basis,replay_status,leg1_otm_pct,leg1_orats_call_coordinate_delta,leg1_option_delta,leg2_otm_pct,leg2_orats_call_coordinate_delta,leg2_option_delta
APA,2026-08-11,40.84,0.809243,42.4833,3.3716,43.392199999999995,42.4833,42.3273,0.0637088,47.8765,52.5826,43.412099999999995,42.4879,44.8404,47.4003,-0.924199999999992,0.9287999999999954,10.0993,4.484300000000005,1.448200000000007,-4.706099999999999,1.5873015873015872,81.34920634920636,33.73015873015873,1.5873015873015872,7.142857142857143,30.555555555555557,14.39775910364145,-0.6084205402774434,35.438199999999995,31.84305,15.24287350937692,False,True,True,11.402073104200785,10.573665752436568,2026-08-11,41.02,14308356.0,6.37088,5631460,8289.25,Oil & Gas Exploration,0000-00-00,XLE,Energy,14,22,80.9243,12,202733,18.62,21.83,4.28,14.29,231002489.2,True,True,66.22950819672131,,False,False,False,,False,False,11.09126984126984,18.73015873015873,305,266,0.0,0.0046000000000034,buy-first put-tail inventory,46.06253968253968,True,,put,2026-09-18,39.0,BTO,30.0,0.9810438611268048,0.05,0.08,1335.0,12.0,STO,25.0,0.01,0.06,1584.0,0.0,5.0,0.07,,,False,26.54260528893243,5.957394711067568,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,26.54260528893243,0.9810438611268048,-0.01895613887319525,38.78550440744368,0.9993473469021881,-0.0006526530978119283
CCL,2026-08-11,27.59,0.817906,40.1086,2.8485,40.1792,40.1086,45.2536,0.0329031,44.2029,39.024,38.6174,42.0248,44.4091,43.6904,3.4073999999999955,-1.4911999999999992,-1.0846000000000018,4.023699999999998,4.229900000000001,5.178899999999999,31.349206349206348,26.984126984126984,80.15873015873017,3.968253968253968,69.84126984126983,24.20634920634921,-7.0417789757412415,-7.6021433355659696,27.8532,27.9441,-0.944954260192732,True,False,False,8.707643814026799,7.879236462262584,2026-08-11,27.75,37788619.0,3.29031,18835056,37592.15,Travel & Tourism Services,0000-00-00,XLY,C. Cyclical,5,31,81.7906,6,974581,24.41,30.56,0.0,4.76,522672804.0,True,True,62.295081967213115,,False,False,False,,False,False,16.78571428571429,26.507936507936503,305,266,7.936507936507937,1.9161999999999964,buy-first put-tail inventory,32.73285714285714,True,,put,2026-09-18,39.0,BTO,20.0,0.9834318581614591,0.03,0.04,7042.0,81.0,STO,15.0,0.01,0.04,16355.0,51.0,5.0,0.03,,,False,27.509967379485325,4.990032620514675,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,27.509967379485325,0.9834318581614591,-0.01656814183854094,45.632475534613995,0.9999586215840804,-4.1378415919557376e-05
CELH,2026-08-11,27.88,0.59276,50.7724,2.69056,54.03980000000001,50.7724,56.105,0.11313,65.275,55.73590000000001,53.0452,50.2315,56.0458,53.5141,-2.8137000000000043,2.2728000000000037,4.9635000000000105,11.2352,2.005999999999993,9.539099999999998,1.1904761904761905,93.65079365079364,85.31746031746032,7.142857142857143,81.74603174603175,39.285714285714285,-6.127946127946126,-7.98679867986799,29.196400000000004,39.67844999999999,-4.508775054458791,False,False,False,-8.470124753775455,-9.298532105539673,2026-08-11,27.21,7054617.0,11.31303,11673704,42993.15,Non-Alcoholic Beverages,0000-00-00,XLP,C. Defensive,5,33,59.276,12,682037,31.23,32.94,0.0,4.76,317641485.84000003,True,True,24.91803278688525,,False,False,False,other,False,False,10.436507936507937,32.61904761904762,305,266,1.1904761904761905,-0.5409000000000006,buy-first put-tail inventory,33.29380952380952,True,,put,2026-09-18,39.0,BTO,20.0,0.9724345212841751,0.07,0.09,1331.0,56.0,STO,15.0,0.01,0.02,215.0,12.0,5.0,0.08,,,False,28.263988522238158,4.236011477761842,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,28.263988522238158,0.9724345212841751,-0.02756547871582493,46.19799139167861,0.9980931600249477,-0.0019068399750522547
DAL,2026-08-11,90.74,0.884952,34.619,2.70762,35.1489,34.619,39.273799999999994,0.0727711,36.1561,33.9813,34.2349,35.1192,37.6117,36.0803,0.8842999999999961,-0.3840999999999965,-0.6377000000000024,1.0072000000000043,2.4628000000000014,2.1748000000000047,0.7936507936507936,67.46031746031746,26.58730158730159,0.7936507936507936,53.57142857142857,5.9523809523809526,-2.4930152589727084,-3.272572220445591,86.5256,71.99945,4.8706972271790105,True,True,True,27.05124614953793,26.222838797773715,2026-08-11,89.21,59672714.0,7.27711,5825363,21876.15,Airlines,0000-00-00,XLI,Industrials,10,9,88.4952,8,388260,17.47,8.73,1.53,9.52,519680633.23,True,True,85.24590163934425,,True,False,False,,False,False,21.70634920634921,20.337301587301585,305,266,0.0,0.5001999999999995,buy-first put-tail inventory,47.37126984126984,True,,put,2026-09-18,39.0,BTO,60.0,0.9991398666243914,0.02,0.08,5086.0,1.0,STO,55.0,0.01,0.03,4623.0,11.0,5.0,0.07,,,False,33.87701124090808,1.3770112409080824,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,33.87701124090808,0.9991398666243914,-0.0008601333756086404,39.38726030416575,0.9999223089037679,-7.769109623212422e-05
GOOG,2026-08-11,343.28,0.989506,28.8253,2.6183,29.8933,28.8253,32.080799999999996,0.0109873,32.6895,31.7603,28.9406,29.357100000000003,33.3696,32.8187,0.4165000000000027,0.1153000000000012,2.9350000000000023,2.7962000000000025,3.4762999999999984,0.9292000000000016,13.88888888888889,75.7936507936508,63.095238095238095,4.761904761904762,57.142857142857146,25.0,-9.035984948857925,-9.035984948857925,353.5285999999999,329.1824,-2.898945092419669,False,True,False,-11.283403111593538,-12.111810463357752,2026-08-11,355.84,4198292029.0,1.09873,20856933,221995.55,Internet Content & Media,0000-00-00,XLC,Comm,5,25,98.9506,11,1827251,29.87,25.4,0.0,4.76,7421731038.719999,True,True,22.950819672131143,,False,False,False,,False,False,12.59920634920635,24.166666666666668,305,266,7.936507936507937,0.531800000000004,buy-first put-tail inventory,30.764920634920635,True,,put,2026-09-18,39.0,BTO,240.0,0.9966130373801012,0.08,0.12,2578.0,5.0,STO,235.0,0.06,0.11,1316.0,2.0,5.0,0.06,,,False,30.08622698671638,2.4137730132836204,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,30.08622698671638,0.9966130373801012,-0.0033869626198987923,31.542763924493123,0.9977064558372034,-0.0022935441627965902
LYFT,2026-08-11,17.69,0.658115,44.6819,4.0,41.9616,44.6819,50.194799999999994,0.0859712,46.6648,46.4558,45.612,43.7689,42.4429,43.0457,-1.8430999999999995,0.930100000000003,1.7739000000000047,4.7032000000000025,0.4813000000000045,0.208999999999996,15.07936507936508,52.77777777777778,27.38095238095238,1.5873015873015872,49.6031746031746,3.5714285714285716,5.485986881335725,0.0,15.0432,16.340700000000002,17.59466071048714,True,True,True,27.35781137508999,26.529404023325775,2026-08-11,17.26,6716584.0,8.59712,12464737,22522.15,Application Software,0000-00-00,XLI,Industrials,5,2,65.8115,12,578057,11.65,1.98,0.0,4.76,215141360.62,True,True,85.57377049180329,,False,False,False,,False,False,13.869047619047617,20.21825396825397,305,266,3.968253968253968,-0.9129999999999968,buy-first put-tail inventory,49.5404761904762,True,,put,2026-10-16,67.0,BTO,13.0,0.9367479866637192,0.07,0.08,4820.0,2.0,STO,8.0,0.01,0.09,974.0,1.0,5.0,0.07,,,False,26.512153759185985,5.987846240814015,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,26.512153759185985,0.9367479866637192,-0.06325201333628083,54.776710005652916,0.9979850115119611,-0.002014988488038938
NVDA,2026-08-11,217.59,0.983831,33.2254,2.50823,33.210699999999996,38.7406,38.7961,0.0075759,35.8063,41.3188,32.3974,34.755900000000004,44.7137,47.6073,2.3585000000000065,-0.828000000000003,2.5782000000000025,2.595600000000005,11.503000000000007,-5.512500000000003,20.238095238095237,73.01587301587301,73.41269841269842,36.904761904761905,14.285714285714286,15.873015873015872,2.2173157326067505,-2.3822341857335116,206.2276,194.36465000000004,5.509640804625571,False,True,True,-0.6982475355969298,-1.5266548873611452,2026-08-11,217.55,5270247390.0,0.75759,126035468,3474567.0,Semiconductors,0000-00-00,XLK,Technology,5,6,98.3831,2,14279765,10.9,6.75,0.0,4.76,27419016063.4,True,True,38.68852459016394,,False,False,False,,True,False,13.373015873015875,-6.944444444444443,305,266,14.285714285714286,1.5305000000000035,buy-first put-tail inventory,47.1952380952381,True,,put,2026-09-18,39.0,BTO,135.0,0.9921987999790628,0.18,0.2,13602.0,190.0,STO,130.0,0.17,0.19,30110.0,5.0,5.0,0.03,,,True,37.956707569281676,5.456707569281676,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,37.956707569281676,0.9921987999790628,-0.0078012000209372045,40.25460728893792,0.9947732129125131,-0.005226787087486917
PLTR,2026-08-11,175.48,0.989515,46.9394,3.70779,48.0575,46.9394,53.5164,0.0140232,51.969,51.9027,47.3652,47.4668,55.751,58.3704,0.1015999999999976,0.4258000000000024,4.963300000000004,3.911500000000004,7.6935,0.0662999999999982,8.73015873015873,86.11111111111111,55.95238095238095,4.365079365079365,57.93650793650794,23.80952380952381,7.715916763857344,0.0,133.62,152.2079,31.327645562041596,True,True,True,28.660458977930947,27.83205162616673,2026-08-11,175.23,420653129.0,1.40232,46095384,571474.9,Infrastructure Software,0000-00-00,XLK,Technology,5,28,98.9515,11,3735538,25.03,24.6,0.0,4.76,8077294138.32,True,True,86.22950819672131,,False,False,False,,False,False,11.567460317460318,23.49206349206349,305,266,3.968253968253968,0.5274000000000001,buy-first put-tail inventory,37.43031746031746,True,,put,2026-09-18,39.0,BTO,105.0,0.9901764632348525,0.2,0.22,8606.0,243.0,STO,100.0,0.16,0.19,13156.0,171.0,5.0,0.06,,,False,40.16412126738089,7.664121267380892,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,40.16412126738089,0.9901764632348525,-0.009823536765147467,43.01344882607704,0.9937240449797512,-0.006275955020248802
UAL,2026-08-11,126.63,0.941542,41.604400000000005,1.06707,42.5758,41.604400000000005,45.1313,0.0575033,41.7929,39.9347,40.6695,42.6174,45.764700000000005,44.144299999999994,1.947899999999997,-0.934900000000006,-1.669700000000006,-0.7828999999999979,3.188900000000004,1.8582000000000036,8.333333333333334,61.507936507936506,22.61904761904762,3.1746031746031744,38.492063492063494,13.492063492063492,-4.839558127301425,-5.188679245283023,121.4658,106.55045,4.251567107778476,True,True,True,30.88372093023255,30.055313578468333,2026-08-11,123.76,41100265.0,5.75033,4145504,16629.15,Airlines,0000-00-00,XLI,Industrials,5,17,94.1542,10,331154,16.3,15.87,0.0,4.76,513047575.04,True,True,87.8688524590164,,True,False,False,,False,False,22.757936507936503,19.186507936507937,305,266,3.5714285714285716,1.012999999999991,buy-first put-tail inventory,46.319047619047616,True,,put,2026-09-18,39.0,BTO,85.0,0.9947193248189141,0.06,0.12,2157.0,508.0,STO,80.0,0.04,0.06,3058.0,40.0,5.0,0.07999999999999999,,,False,32.875306009634365,0.37530600963436456,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,32.875306009634365,0.9947193248189141,-0.005280675181085881,36.82381742083234,0.9983113542880032,-0.0016886457119967835
CCJ,2026-08-12,99.14,0.855793,45.1488,2.74016,44.867,45.1488,46.9686,0.0621597,48.3867,46.5459,45.8388,44.5532,46.0544,44.5043,-1.2856000000000023,0.6899999999999977,1.3971000000000018,3.519699999999993,1.187399999999997,1.8407999999999944,14.285714285714286,69.84126984126983,37.301587301587304,5.555555555555555,36.904761904761905,8.73015873015873,4.832399280955912,0.0,97.4874,104.8467,1.6951934301253413,False,False,True,-15.30838886041347,-17.827658867214637,2026-08-12,98.73,43178739.0,6.21597,3749556,22988.8,Uranium,0000-00-00,XLE,Energy,5,10,85.5793,11,410692,20.88,9.52,0.0,4.76,370193663.88,True,True,16.065573770491802,,False,False,False,,False,False,12.936507936507937,20.575396825396822,305,260,4.365079365079365,-0.5956000000000046,buy-first put-tail inventory,40.38984126984127,True,,put,2026-09-18,38.0,BTO,70.0,0.9944409071742217,0.02,0.07,1243.0,1.0,STO,65.0,0.01,0.06,325.0,1.0,5.0,0.060000000000000005,,,False,29.392777889852738,3.107222110147262,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,29.392777889852738,0.9944409071742217,-0.005559092825778267,34.436150897720395,0.9988965655939483,-0.001103434406051651
CELH,2026-08-12,27.42,0.686162,49.0088,2.58013,49.4557,49.0088,55.712,0.0589409,56.5775,57.3803,51.37310000000001,49.409,57.1227,52.3266,-1.964100000000009,2.364300000000007,8.371499999999997,7.1218,7.667000000000002,-0.8027999999999977,4.365079365079365,94.84126984126983,62.698412698412696,49.20634920634921,38.095238095238095,24.20634920634921,-6.543967280163598,-8.386234547276972,29.129400000000004,39.50565,-5.868298008197915,False,False,False,-7.676767676767671,-10.196037683568838,2026-08-12,28.09,6938221.0,5.89409,11821203,42604.65,Non-Alcoholic Beverages,0000-00-00,XLP,C. Defensive,5,29,68.6162,12,686828,28.4,28.57,0.0,4.76,332057592.27,True,True,23.9344262295082,,False,False,False,,False,False,10.694444444444445,23.174603174603178,305,260,9.523809523809524,0.4001999999999981,buy-first put-tail inventory,33.82222222222222,True,,put,2026-09-18,38.0,BTO,17.5,0.9960061736746325,0.03,0.04,1013.0,64.0,STO,15.0,0.01,0.02,214.0,1.0,2.5,0.03,,,False,36.17797228300511,3.6779722830051114,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,36.17797228300511,0.9960061736746325,-0.003993826325367489,45.29540481400438,0.9997923558372774,-0.00020764416272256447
DAL,2026-08-12,90.43,0.851676,35.03,2.28362,35.0739,35.03,38.6301,0.0602955,35.9634,36.022,35.5657,34.7836,35.8945,38.667,-0.7820999999999998,0.5356999999999985,0.9919999999999972,0.8894999999999982,0.8205999999999989,-0.0585999999999984,0.0,94.44444444444444,25.396825396825395,0.0,38.492063492063494,5.9523809523809526,-3.603027395800018,-3.603027395800018,86.70479999999999,72.15825,4.296417268709485,True,True,True,28.124114480022676,25.60484447322151,2026-08-12,90.41,59468851.0,6.02955,5555264,21706.8,Airlines,0000-00-00,XLI,Industrials,5,6,85.1676,8,397011,15.33,6.35,0.0,4.76,502251418.24,True,True,85.24590163934425,,True,False,False,,False,False,20.27777777777778,19.46428571428571,305,260,0.0,-0.2464000000000012,buy-first put-tail inventory,49.67,True,,put,2026-09-18,38.0,BTO,60.0,0.9988496764182399,0.01,0.03,5076.0,100.0,STO,55.0,0.01,0.07,4612.0,0.0,5.0,0.019999999999999997,,,False,33.65033727745218,1.1503372774521807,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,33.65033727745218,0.9988496764182399,-0.0011503235817601487,39.1794758376645,0.999327150986728,-0.0006728490132720255
GOOGL,2026-08-12,344.36,0.979888,28.075899999999997,3.01584,28.9745,28.075899999999997,32.5901,0.0161798,31.9992,31.2594,28.0861,28.6627,33.828599999999994,31.942300000000003,0.5765999999999991,0.0102000000000046,3.183500000000002,3.0246999999999993,4.854099999999995,0.7397999999999989,20.238095238095237,63.888888888888886,67.06349206349206,18.253968253968253,59.12698412698413,21.428571428571427,-4.84664271898313,-9.376562541119505,354.59399999999994,330.49065,-2.886117644404562,False,True,False,-11.112258330967196,-13.631528337768362,2026-08-12,343.8,4211500358.0,1.61798,32312039,544343.3,Internet Content & Media,0000-00-00,XLC,Comm,5,21,97.9888,11,3458210,27.88,21.03,0.0,4.76,11108879008.2,True,True,20.655737704918035,,False,False,False,,False,False,13.82936507936508,24.66269841269841,305,260,8.333333333333334,0.5868000000000038,buy-first put-tail inventory,31.40571428571429,True,,put,2026-09-18,38.0,BTO,250.0,0.9959024490799905,0.1,0.15,6254.0,9.0,STO,245.0,0.08,0.13,2594.0,10.0,5.0,0.06999999999999999,,,False,27.40155651062841,5.09844348937159,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,27.40155651062841,0.9959024490799905,-0.004097550920009518,28.853525380415846,0.9972771083575177,-0.0027228916424822946
NVDA,2026-08-12,222.27,0.980999,32.1653,2.75908,33.0766,38.7491,38.636199999999995,0.00596247,35.9145,42.6651,31.937900000000003,33.4181,39.5038,48.6601,1.4802,-0.2273999999999993,3.916000000000004,2.8378999999999976,6.427199999999999,-6.750600000000006,11.904761904761903,87.3015873015873,75.0,2.7777777777777777,9.126984126984128,14.682539682539682,0.9263043182127896,-0.2826379542395618,206.2008,194.564,7.792986254175549,False,True,True,0.6429703418610044,-1.876299664940162,2026-08-12,217.5,5383601670.0,0.59625,125084928,3464850.45,Semiconductors,0000-00-00,XLK,Technology,5,1,98.0999,2,14590792,6.59,3.17,0.0,4.76,27205971840.0,True,True,41.967213114754095,,False,False,False,,True,False,11.825396825396824,-7.043650793650794,305,260,9.523809523809524,1.2528000000000006,buy-first put-tail inventory,54.12428571428571,True,,put,2026-09-18,38.0,BTO,130.0,0.998874637358326,0.14,0.16,30106.0,33.0,STO,125.0,0.12,0.14,26652.0,29.0,5.0,0.04000000000000001,,,True,41.512574796418775,9.012574796418775,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,41.512574796418775,0.998874637358326,-0.0011253626416739548,43.76209115040267,0.9988861330306443,-0.0011138669693556702
PLTR,2026-08-12,171.23,0.985224,45.1181,3.70675,45.867999999999995,45.1181,52.3123,0.0160704,50.1355,48.6462,45.0449,46.0443,59.961200000000005,55.5427,0.9994000000000014,-0.0731999999999999,3.528100000000002,4.267500000000005,14.09320000000001,1.4893,15.873015873015872,69.04761904761905,60.31746031746032,44.04761904761905,67.85714285714286,15.07936507936508,7.651200804727765,-2.4219284248917283,133.832,152.15985,27.94398947934724,True,True,True,27.07235621521335,24.55308620841219,2026-08-12,174.94,410465212.0,1.60704,46255180,578380.4,Infrastructure Software,0000-00-00,XLK,Technology,5,10,98.5224,11,3854595,15.03,9.13,0.0,4.76,8091881189.2,True,True,83.93442622950819,,False,False,False,,False,False,13.134920634920636,24.424603174603178,305,260,8.333333333333334,0.9262000000000016,buy-first put-tail inventory,45.12873015873016,True,,put,2026-09-18,38.0,BTO,100.0,0.9977222981711974,0.16,0.18,13026.0,95.0,STO,95.0,0.12,0.16,6156.0,65.0,5.0,0.06,,,False,41.5990188635169,9.099018863516903,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,41.5990188635169,0.9977222981711974,-0.002277701828802603,44.51906792034106,0.9990063462034381,-0.0009936537965619108
AMZN,2026-08-13,265.28,0.977305,27.864299999999997,3.80533,27.0051,27.864299999999997,33.1482,0.0115807,29.7948,30.0879,27.8765,28.499799999999997,31.2101,34.0065,0.6232999999999969,0.0122000000000035,2.2236000000000047,2.7897,4.205000000000002,-0.2931000000000026,14.682539682539682,79.36507936507937,75.39682539682539,3.1746031746031744,44.04761904761905,21.03174603174603,-2.366493688123372,-6.968262318078211,247.9714,237.58005,6.9800791542895535,False,True,True,-1.95875526646464,-4.232974725848592,2026-08-13,267.28,2852887917.0,1.15807,48864861,832672.05,E-commerce & Internet Retail,0000-00-00,XLY,C. Cyclical,5,26,97.7305,11,4865653,33.36,25.4,0.0,4.76,13060600048.079998,True,True,33.114754098360656,,False,False,False,,False,False,12.5,24.74206349206349,305,265,9.92063492063492,0.6355000000000004,buy-first put-tail inventory,26.71936507936508,True,,put,2026-09-18,37.0,BTO,190.0,0.9998325709548873,0.12,0.15,15279.0,9.0,STO,185.0,0.1,0.13,6217.0,89.0,5.0,0.04999999999999999,,,False,28.377563329312416,4.122436670687584,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,28.377563329312416,0.9998325709548873,-0.00016742904511268808,30.262364294330514,0.9999453818751457,-5.461812485429984e-05
ASTS,2026-08-13,71.77,0.912648,82.5343,1.93609,81.3639,82.5343,89.6164,0.0452372,100.448,99.6474,86.9604,80.1971,83.00309999999999,81.3668,-6.763300000000001,4.426100000000005,17.11309999999999,19.084100000000007,1.6391999999999882,0.8006000000000171,25.0,68.65079365079364,67.85714285714286,5.555555555555555,54.76190476190476,5.158730158730159,7.34370326054441,-3.261895134115111,73.9374,82.0051,-2.9313987237852612,False,False,False,-5.103794790427074,-7.378014249811026,2026-08-13,74.31,21441028.0,4.52372,15995931,117312.25,Communications Equipment Manufacturing,0000-00-00,XLC,Comm,5,11,91.2648,12,1243828,18.06,10.71,0.0,4.76,1188657632.61,True,True,27.86885245901639,,False,False,False,,False,False,14.067460317460318,24.52380952380952,305,265,23.80952380952381,-2.3371999999999957,buy-first put-tail inventory,37.17809523809524,True,,put,2026-09-18,37.0,BTO,40.0,0.989856007439474,0.1,0.12,1075.0,45.0,STO,35.0,0.02,0.1,1125.0,26.0,5.0,0.09999999999999999,,,False,44.26640657656402,11.766406576564023,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,44.26640657656402,0.989856007439474,-0.010143992560526005,51.233105754493515,0.9975812527689799,-0.002418747231020091
CRWV,2026-08-13,106.33,0.945244,75.9042,2.50771,78.1305,75.9042,80.09349999999999,0.0375539,85.9981,81.9406,77.9996,74.6438,80.2939,78.3617,-3.355800000000002,2.095399999999998,6.0364,7.867599999999996,2.163399999999996,4.05749999999999,1.5873015873015872,94.44444444444444,73.01587301587301,1.5873015873015872,54.76190476190476,7.5396825396825395,23.45292000464414,-1.5736369526983318,90.8164,93.1144,17.082377191784758,False,True,True,-4.70514429109159,-6.979363750475542,2026-08-13,107.73,58010495.0,3.75539,30280718,229526.0,Infrastructure Software,0000-00-00,XLK,Technology,5,6,94.5244,12,2313744,18.61,6.35,0.0,4.76,3262141750.1400003,True,True,28.196721311475407,,False,False,False,,False,False,10.436507936507937,25.039682539682538,305,265,0.0,-1.2604000000000042,buy-first put-tail inventory,46.07253968253968,True,,put,2026-09-18,37.0,BTO,60.0,0.9892171881004277,0.11,0.16,8542.0,1092.0,STO,55.0,0.07,0.11,3904.0,121.0,5.0,0.09,,,False,43.571898805605194,11.071898805605194,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,43.571898805605194,0.9892171881004277,-0.010782811899572309,48.27424057180476,0.9956037142656855,-0.004396285734314498
DAL,2026-08-13,91.47,0.919669,34.2435,2.74462,32.6971,34.2435,38.285799999999995,0.0534029,33.273599999999995,34.8019,33.786699999999996,34.8634,36.6666,36.0101,1.0767000000000024,-0.4568000000000012,0.558400000000006,0.5764999999999958,3.969500000000003,-1.5283000000000089,2.380952380952381,65.87301587301587,20.634920634920636,3.968253968253968,30.15873015873016,3.5714285714285716,-0.8992416034669493,-2.494403581707716,86.93140000000001,72.31015000000001,5.220898317523925,True,True,True,28.631697370271404,26.35747791088745,2026-08-13,89.93,60152779.0,5.34029,5386998,21628.4,Airlines,0000-00-00,XLI,Industrials,5,6,91.9669,8,402278,15.32,6.35,0.0,4.76,484452730.1400001,True,True,85.90163934426229,,True,False,False,,False,False,21.944444444444443,18.57142857142857,305,265,1.1904761904761905,0.6199000000000012,buy-first put-tail inventory,48.96571428571429,True,,put,2026-09-18,37.0,BTO,62.5,0.9989980691413834,0.01,0.06,810.0,0.0,STO,57.5,0.01,0.03,898.0,0.0,5.0,0.049999999999999996,,,False,31.67158631245217,0.8284136875478296,early_put_backfill_2026-08-11_to_2026-08-21,signal-day weeks-to-earnings estimate; not a selection veto,new qualification; not in original frozen P&L cohort,31.67158631245217,0.9989980691413834,-0.001001930858616551,37.137859407456,0.9999154826602955,-8.451733970449293e-05
